id,value
apache.PatternProcessor.org-apache-logging-log4j-core-pattern-FormattingInfo,100
apache.PatternProcessor.org-apache-logging-log4j-core-pattern-ArrayPatternConverter,100
apache.PatternProcessor.org-apache-logging-log4j-core-pattern-DatePatternConverter,100
apache.PatternProcessor.org-apache-logging-log4j-core-impl-Log4jLogEvent,100
apache.PatternProcessor.org-apache-logging-log4j-core-pattern-PatternParser,100
apache.PatternProcessor.org-apache-logging-log4j-Logger,100
apache.PatternProcessor.org-apache-logging-log4j-core-appender-rolling-RolloverFrequency,100
apache.PatternProcessor.org-apache-logging-log4j-core-pattern-PatternConverter,100
apache.PatternProcessor.org-apache-logging-log4j-core-lookup-StrSubstitutor,100
apache.PatternProcessor.org-apache-logging-log4j-core-LogEvent,100
apache.PatternProcessor.org-apache-logging-log4j-status-StatusLogger,100
apache.PatternProcessor.org-apache-logging-log4j-core-config-Configuration,100
apache.ThreadDumpMessage,
apache.ThreadDumpMessage.org-apache-logging-log4j-util-Strings,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-ThreadInformation,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$ThreadDumpMessageProxy,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$BasicThreadInfoFactory,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$ExtendedThreadInfoFactory,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-Message,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$1,100
apache.ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$ThreadInfoFactory,100
apache.ThreadDumpMessage.org-apache-logging-log4j-util-StringBuilders,100
apache.MultiformatMessage,
apache.MultiformatMessage.org-apache-logging-log4j-message-Message,100
apache.ThrowablePatternConverter,
apache.ThrowablePatternConverter.org-apache-logging-log4j-core-impl-ThrowableFormatOptions,100
apache.ThrowablePatternConverter.org-apache-logging-log4j-util-Strings,100
apache.ThrowablePatternConverter.org-apache-logging-log4j-core-pattern-LogEventPatternConverter,100
apache.ThrowablePatternConverter.org-apache-logging-log4j-core-LogEvent,100
apache.ThrowablePatternConverter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.ThrowablePatternConverter.org-apache-logging-log4j-core-pattern-ConverterKeys,100
apache.ThrowablePatternConverter.org-apache-logging-log4j-core-util-Constants,100
apache.Initializers$SetupContextInitializer,
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-StackTraceElementMixIn,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-Marker,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-MarkerMixIn,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-Level,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-LevelMixIn,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-LogEvent,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-LogEventMixIn,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-impl-ExtendedStackTraceElement,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-ExtendedStackTraceElementMixIn,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-impl-ThrowableProxy,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-ThrowableProxyMixIn,100
apache.Initializers$SetupContextInitializer.com-fasterxml-jackson-databind-Module$SetupContext,100
apache.Initializers$SetupContextInitializer.org-apache-logging-log4j-core-jackson-Initializers,100
apache.Initializers$SetupContextInitializer.com-fasterxml-jackson-databind-Module,100
apache.SimpleBenchmark_jmh_B2,
apache.SimpleBenchmark_jmh_B2.org-apache-logging-log4j-perf-jmh-generated-SimpleBenchmark_jmh_B1,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage,
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-RawResults,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-ThroughputResult,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-AverageTimeResult,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-util-SampleBuffer,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-SampleTimeResult,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-SingleShotResult,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-infra-generated-Blackhole_jmh,100
