id,value
apache,
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter,
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*pattern*NamePatternConverter,100
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*pattern*ConverterKeys,100
apache.org*openjdk*jmh*infra*generated*Blackhole_jmh,
apache.org*openjdk*jmh*infra*generated*Blackhole_jmh(1).org*openjdk*jmh*infra*generated*Blackhole_jmh_B3,100
apache.org*apache*logging*log4j*jcl*LogFactoryImpl,
apache.org*apache*logging*log4j*jcl*LogFactoryImpl(5).org*apache*logging*log4j*jcl*LogAdapter,100
apache.org*apache*logging*log4j*jcl*LogFactoryImpl(5).org*apache*commons*logging*Log,100
apache.org*apache*logging*log4j*jcl*LogFactoryImpl(5).org*apache*commons*logging*LogFactory,100
apache.org*apache*logging*log4j*jcl*LogFactoryImpl(5).org*apache*logging*log4j*spi*LoggerAdapter,100
apache.org*apache*logging*log4j*jcl*LogFactoryImpl(5).org*apache*commons*logging*LogConfigurationException,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout,
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*layout*HtmlLayout$Builder,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*layout*AbstractStringLayout,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*layout*HtmlLayout$1,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*layout*HtmlLayout$FontSize,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*LogEvent,100
