id,value
apache.org*apache*logging*log4j*message*LocalizedMessageFactory.org-apache-logging-log4j-message-AbstractMessageFactory,100
apache.org*apache*logging*log4j*message*LocalizedMessageFactory.org-apache-logging-log4j-message-Message,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker,
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker.org-apache-logging-log4j-core-layout-Rfc5424Layout$ListChecker,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker.org-apache-logging-log4j-core-layout-Rfc5424Layout,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker.org-apache-logging-log4j-core-layout-Rfc5424Layout$1,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin,
apache.org*apache*logging*log4j*core*appender*FailoversPlugin.org-apache-logging-log4j-Logger,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin.org-apache-logging-log4j-core-config-AppenderRef,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin.org-apache-logging-log4j-core-config-plugins-PluginFactory,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin.org-apache-logging-log4j-core-config-plugins-PluginElement,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin.org-apache-logging-log4j-status-StatusLogger,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender,
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-core-appender-AppenderLoggingException,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-core-appender-AbstractAppender,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-core-appender-OutputStreamManager,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-core-Layout,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-core-Filter,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-core-LogEvent,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender.org-apache-logging-log4j-Logger,100
apache.org*apache*logging*log4j*io*ByteStreamLogger,
apache.org*apache*logging*log4j*io*ByteStreamLogger.org-apache-logging-log4j-io-ByteStreamLogger$ByteBufferInputStream,100
apache.org*apache*logging*log4j*io*ByteStreamLogger.org-apache-logging-log4j-io-ByteStreamLogger$1,100
apache.org*apache*logging*log4j*io*ByteStreamLogger.org-apache-logging-log4j-spi-ExtendedLogger,100
apache.org*apache*logging*log4j*io*ByteStreamLogger.org-apache-logging-log4j-Level,100
apache.org*apache*logging*log4j*io*ByteStreamLogger.org-apache-logging-log4j-Marker,100
apache.org*apache*logging*log4j*core*Layout,
apache.org*apache*logging*log4j*core*Layout.org-apache-logging-log4j-core-LogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor,
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-pattern-FormattingInfo,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-pattern-ArrayPatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-pattern-DatePatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-impl-Log4jLogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-pattern-PatternParser,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-Logger,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-appender-rolling-RolloverFrequency,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-pattern-PatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-lookup-StrSubstitutor,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-LogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-status-StatusLogger,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor.org-apache-logging-log4j-core-config-Configuration,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage,
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-util-Strings,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-ThreadInformation,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$ThreadDumpMessageProxy,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$BasicThreadInfoFactory,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$ExtendedThreadInfoFactory,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-Message,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$1,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage.org-apache-logging-log4j-message-ThreadDumpMessage$ThreadInfoFactory,100
