id,value
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerPrintStream,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*LoggingException,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*LogManager,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*util*ReflectionUtil,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14),
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*RawResults,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*ThroughputResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*AverageTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*util*SampleBuffer,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*SampleTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*SingleShotResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_jmh,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*infra*generated*Blackhole_jmh,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*runner*InfraControl,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*infra*ThreadParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*Result,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*infra*BenchmarkParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*infra*IterationParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*ThreadsafeDateFormatBenchmark_fixedDateFormat(14).org*openjdk*jmh*results*ResultRole,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7),
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*core*lookup*AbstractLookup,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*MarkerManager,100
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6),
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6).org*openjdk*jmh*annotations*Benchmark,100
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6).org*openjdk*jmh*annotations*BenchmarkMode,100
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6).org*openjdk*jmh*annotations*Mode,100
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6).org*openjdk*jmh*annotations*OutputTimeUnit,100
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6).org*openjdk*jmh*annotations*State,100
apache.org*apache*logging*log4j*perf*jmh*NanotimeBenchmark(6).org*openjdk*jmh*annotations*Scope,100
apache.org*apache*logging*log4j*spi*Provider(4),
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*spi*LoggerContextFactory,100
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*spi*ThreadContextMap,100
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*net*Severity(3),
apache.org*apache*logging*log4j*core*net*Severity(3).org*apache*logging*log4j*core*net*Severity$1,100
apache.org*apache*logging*log4j*core*net*Severity(3).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*net*Severity(3).org*apache*logging*log4j*spi*StandardLevel,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13),
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*pattern*PatternParser,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*util*Strings,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*pattern*PatternFormatter,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*pattern*LogEventPatternConverter,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*pattern*AnsiConverter,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*config*Configuration,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*pattern*ConverterKeys,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*pattern*AnsiEscape,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*pattern*HighlightConverter(13).org*apache*logging*log4j*core*layout*PatternLayout,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3),
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3).org*apache*logging*log4j*core*layout*Rfc5424Layout$ListChecker,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3).org*apache*logging*log4j*core*layout*Rfc5424Layout,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3).org*apache*logging*log4j*core*layout*Rfc5424Layout$1,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6),
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*AppenderRef,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*plugins*PluginFactory,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*plugins*PluginElement,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7),
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*appender*AppenderLoggingException,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*appender*AbstractAppender,100
